date,followers
2022-07-17,200
2022-07-18,250
2022-07-19,300
2022-07-20,345
2022-07-21,352
2022-07-22,402
2022-07-23,410
2022-07-24,413
2022-07-25,424
2022-07-26,449
2022-07-27,491
2022-07-28,505
2022-07-29,519
2022-07-30,526
2022-07-31,531
2022-08-01,552
2022-08-02,572
2022-08-03,579
2022-08-04,598
2022-08-05,605
2022-08-06,610
2022-08-07,617
2022-08-08,639
2022-08-09,667
2022-08-10,673
2022-08-11,711
2022-08-12,715
2022-08-13,731
2022-08-14,736
2022-08-15,759
2022-08-16,766
2022-08-17,774
2022-08-18,793
2022-08-19,819
2022-08-20,820
2022-08-21,824
2022-08-22,826
2022-08-23,831
2022-08-24,842
2022-08-25,851
2022-08-26,866
2022-08-27,876
2022-08-28,882
2022-08-29,886
2022-08-30,891
2022-08-31,903
2022-09-01,913
2022-09-02,919
2022-09-03,923
2022-09-04,929
2022-09-05,935
2022-09-06,941
2022-09-07,942
2022-09-08,954
2022-09-09,960
2022-09-10,967
2022-09-12,974
2022-09-13,980
