emoji,subcat
🆘,alphanum
🅰️,alphanum
🅱️,alphanum
🆒,alphanum
🆕,alphanum
🆓,alphanum
🆚,alphanum
🆗,alphanum
🆔,alphanum
🅾️,alphanum
🅿️,alphanum
㊗️,alphanum
㊙️,alphanum
Ⓜ️,alphanum
🆙,alphanum
ℹ️,alphanum
🈵,alphanum
🔢,alphanum
🆖,alphanum
🉐,alphanum
🈹,alphanum
🆎,alphanum
🉑,alphanum
🔤,alphanum
🈴,alphanum
🔠,alphanum
🆑,alphanum
🈲,alphanum
🈚,alphanum
🈶,alphanum
🈳,alphanum
🈯,alphanum
🈺,alphanum
🔡,alphanum
🈸,alphanum
🈂️,alphanum
🈷️,alphanum
🔣,alphanum
🈁,alphanum
🐸,animal-amphibian
🕊️,animal-bird
🐥,animal-bird
🐣,animal-bird
🐔,animal-bird
🦆,animal-bird
🦅,animal-bird
🐦,animal-bird
🦜,animal-bird
🐓,animal-bird
🦃,animal-bird
🐧,animal-bird
🐤,animal-bird
🦉,animal-bird
🦩,animal-bird
🦚,animal-bird
🦢,animal-bird
🦋,animal-bug
🐝,animal-bug
🦠,animal-bug
🐛,animal-bug
🕷️,animal-bug
🐞,animal-bug
🦗,animal-bug
🐜,animal-bug
🐌,animal-bug
🦟,animal-bug
🦂,animal-bug
🕸️,animal-bug
🐰,animal-mammal
🐶,animal-mammal
🐾,animal-mammal
🐇,animal-mammal
🐕,animal-mammal
🐷,animal-mammal
🐱,animal-mammal
🐻,animal-mammal
🐈,animal-mammal
🦄,animal-mammal
🐒,animal-mammal
🐐,animal-mammal
🦁,animal-mammal
🐼,animal-mammal
🐑,animal-mammal
🦍,animal-mammal
🐖,animal-mammal
🐎,animal-mammal
🦊,animal-mammal
🐴,animal-mammal
🐿️,animal-mammal
🐺,animal-mammal
🐽,animal-mammal
🐄,animal-mammal
🐀,animal-mammal
🐯,animal-mammal
🐵,animal-mammal
🦥,animal-mammal
🦇,animal-mammal
🐮,animal-mammal
🐂,animal-mammal
🐘,animal-mammal
🐅,animal-mammal
🦌,animal-mammal
